date,name,value
2020-01,OPPO,9
2020-01,mongodb,24
2020-01,openssl,71
2020-01,WPScan,17
2020-01,OpenText,9
2020-01,Silver Peak,8
2020-01,Vivo,7
2020-01,INCIBE,8
2020-01,Joomla,7
2020-01,autodesk,16
2020-01,OpenVPN,6
2020-01,netflix,17
2020-01,GitHub_P,4
2020-01,flexera,496
2020-01,naver,8
2020-01,Zscaler,4
2020-01,puppet,40
2020-01,Hitachi,4
2020-01,CSW,4
2020-01,dahua,23
2020-01,Opera,4
2020-01,Vaadin,7
2020-01,360ST,6
2020-01,larry_cashdollar,83
2020-01,Salesforce,5
2020-01,Mattermost,3
2020-01,Document Fdn.,12
2020-01,blackberry,26
2020-01,yandex,23
2020-01,crafter,2
2020-01,fedora,8
2020-01,cloudflare,2
2020-01,Tcpdump,3
2020-01,Sophos,1
2020-01,forcepoint,44
2020-01,EA,1
2020-01,odoo,17
2020-01,Tigera,1
2020-01,obdev,14
2020-01,CPANSec,2
2020-01,NLnet Labs,1
2021-01,mitre,90439
2021-01,GitHub_M,1776
2021-01,WPScan,1012
2021-01,microsoft,8192
2021-01,Linux,775
2021-01,google_android,3554
2021-01,apple,5036
2021-01,cisco,5043
2021-01,oracle,6969
2021-01,adobe,4425
2021-01,ibm,5836
2021-01,redhat,10457
2021-01,huawei,1388
2021-01,icscert,2284
2021-01,zdi,1111
2021-01,Chrome,2501
2021-01,talos,1496
2021-01,siemens,718
2021-01,Wordfence,388
2021-01,qualcomm,2598
2021-01,jpcert,1970
2021-01,intel,2246
2021-01,@huntrdev,206
2021-01,sap,685
2021-01,Samsung Mobile,198
2021-01,apache,886
2021-01,GitLab,306
2021-01,hpe,920
2021-01,snyk,516
2021-01,twcert,256
2021-01,fortinet,343
2021-01,dell,1151
2021-01,mozilla,1517
2021-01,juniper,537
2021-01,schneider,439
2021-01,hackerone,1057
2021-01,AMD,314
2021-01,nvidia,414
2021-01,tenable,355
2021-01,jenkins,677
2021-01,CERTVDE,145
2021-01,vmware,394
2021-01,VulDB,779
2021-01,f5,485
2021-01,Patchstack,81
2021-01,Mend,140
2021-01,trendmicro,283
2021-01,atlassian,336
2021-01,fedora,75
2021-01,qnap,160
2021-01,lenovo,354
2021-01,trellix,300
2021-01,Joomla,57
2021-01,JFROG,42
2021-01,SolarWinds,42
2021-01,palo_alto,171
2021-01,synology,158
2021-01,krcert,167
2021-01,tibco,122
2021-01,microfocus,493
2021-01,canonical,345
2021-01,HCL,95
2021-01,autodesk,49
2021-01,sonicwall,70
2021-01,netapp,128
2021-01,openEuler,60
2021-01,eclipse,100
2021-01,zte,127
2021-01,XEN,29
2021-01,Mitsubishi,28
2021-01,elastic,125
2021-01,suse,77
2021-01,F-SecureUS,26
2021-01,Google,59
2021-01,Esri,25
2021-01,INCIBE,33
2021-01,Sophos,25
2021-01,rapid7,155
2021-01,zephyr,82
2021-01,OpenText,30
2021-01,bosch,47
2021-01,Zoom,21
2021-01,TR-CERT,21
2021-01,hp,795
2021-01,Hitachi Energy,20
2021-01,facebook,116
2021-01,jci,35
2021-01,NCSC.ch,20
2021-01,Arista,18
2021-01,OTRS,33
2021-01,Nozomi,16
2021-01,odoo,32
2021-01,ABB,81
2021-01,debian,792
2021-01,mongodb,39
2021-01,Vaadin,21
2021-01,Bitdefender,94
2021-01,Eaton,110
2021-01,Gallagher,33
2021-01,Zyxel,13
2021-01,GitHub_P,16
2021-01,kubernetes,64
2021-01,certcc,3174
2021-01,NEC,11
2021-01,blackberry,36
2021-01,@huntr_ai,10
2021-01,Ping Identity,10
2021-01,GovTech CSG,10
2021-01,SNPS,10
2021-01,Mautic,10
2021-01,Acronis,10
2021-01,brocade,71
2021-01,openssl,81
2021-01,pivotal,160
2021-01,crafter,12
2021-01,Teradici,56
2021-01,SICK AG,25
2021-01,INCD,9
2021-01,puppet,49
2021-01,Octopus,9
2021-01,ESET,9
2021-01,Secomea,22
2021-01,Mattermost,12
2021-01,avaya,58
2021-01,cloudflare,10
2021-01,checkpoint,79
2021-01,freebsd,149
2021-01,php,37
2021-01,isc,88
2021-01,TianoCore,7
2021-01,Document Fdn.,18
2021-01,DIVD,6
2021-01,ARTICA,6
2021-01,MediaTek,6
2021-01,symantec,318
2021-01,yandex,28
2021-01,Vivo,12
2021-01,THA-PSIRT,5
2021-01,Splunk,5
2021-01,OpenVPN,11
2021-01,LINE,5
2021-01,Salesforce,10
2021-01,Zscaler,9
2021-01,CSW,9
2021-01,flexera,500
2021-01,Fidelis,4
2021-01,Axis,9
2021-01,M-Files Corporation,4
2021-01,Go,25
2021-01,Kaspersky,128
2021-01,Snow,4
2021-01,OPPO,13
2021-01,AppCheck,4
2021-01,NLnet Labs,5
2021-01,HITVAN,3
2021-01,Pega,3
2021-01,Mirantis,3
2021-01,naver,11
2021-01,SWI,44
2021-01,dahua,26
2021-01,Zowe,2
2021-01,Synaptics,2
2021-01,NetMotion,2
2021-01,netflix,19
2021-01,Replicated,2
2021-01,DeepSurface,1
2021-01,ca,57
2021-01,ForgeRock,1
2021-01,None,1
2021-01,DEVOLUTIONS,1
2021-01,Hitachi,5
2021-01,forcepoint,45
2021-01,alibaba,1
2021-01,Opera,5
2021-01,Netskope,1
2021-01,hikvision,3
2021-01,Tcpdump,4
2021-01,Perforce,1
2022-01,mitre,97181
2022-01,Linux,2360
2022-01,GitHub_M,3079
2022-01,WPScan,2196
2022-01,microsoft,9150
2022-01,@huntrdev,1047
2022-01,Patchstack,758
2022-01,VulDB,1342
2022-01,google_android,4092
2022-01,apple,5474
2022-01,oracle,7384
2022-01,ibm,6249
2022-01,redhat,10862
2022-01,jenkins,1068
2022-01,adobe,4807
2022-01,Chrome,2883
2022-01,zdi,1470
2022-01,talos,1853
2022-01,Samsung Mobile,554
2022-01,cisco,5390
2022-01,icscert,2626
2022-01,intel,2563
2022-01,Unisoc,311
2022-01,sap,972
2022-01,siemens,991
2022-01,MediaTek,275
2022-01,qualcomm,2865
2022-01,huawei,1644
2022-01,dell,1392
2022-01,apache,1115
2022-01,jpcert,2191
2022-01,Wordfence,609
2022-01,GitLab,524
2022-01,mozilla,1686
2022-01,hpe,1088
2022-01,snyk,675
2022-01,fortinet,486
2022-01,f5,594
2022-01,nvidia,523
2022-01,twcert,361
2022-01,CERTVDE,249
2022-01,vmware,496
2022-01,schneider,539
2022-01,juniper,632
2022-01,hackerone,1146
2022-01,INCD,74
2022-01,autodesk,114
2022-01,hp,859
2022-01,JetBrains,61
2022-01,lenovo,413
2022-01,XEN,88
2022-01,trendmicro,340
2022-01,Mend,196
2022-01,Fluid Attacks,55
2022-01,INCIBE,84
2022-01,Google,106
2022-01,fedora,118
2022-01,HCL,137
2022-01,Mitsubishi,70
2022-01,synology,195
2022-01,Go,61
2022-01,WDC PSIRT,35
2022-01,Octopus,44
2022-01,Zoom,56
2022-01,Acronis,44
2022-01,rapid7,188
2022-01,tenable,387
2022-01,suse,109
2022-01,tibco,152
2022-01,trellix,329
2022-01,TR-CERT,50
2022-01,Esri,53
2022-01,Zyxel,41
2022-01,SolarWinds,68
2022-01,Splunk,31
2022-01,palo_alto,197
2022-01,canonical,371
2022-01,Securifera,25
2022-01,brocade,96
2022-01,ABB,105
2022-01,Hitachi Energy,41
2022-01,microfocus,514
2022-01,certcc,3195
2022-01,facebook,137
2022-01,Mattermost,33
2022-01,DIVD,26
2022-01,F-SecureUS,46
2022-01,AMD,333
2022-01,zte,146
2022-01,OpenHarmony,18
2022-01,Sophos,43
2022-01,dahua,43
2022-01,Joomla,73
2022-01,TML,16
2022-01,isc,104
2022-01,sonicwall,86
2022-01,SICK AG,41
2022-01,openssl,96
2022-01,Secomea,37
2022-01,atlassian,351
2022-01,HITVAN,18
2022-01,elastic,140
2022-01,Ping Identity,24
2022-01,Zabbix,14
2022-01,SNPS,24
2022-01,Citrix,13
2022-01,Palantir,13
2022-01,netapp,141
2022-01,Hitachi,18
2022-01,OTRS,46
2022-01,cloudflare,22
2022-01,NCSC-NL,12
2022-01,krcert,179
2022-01,GitHub_P,28
2022-01,Tribe29,11
2022-01,ca,68
2022-01,symantec,329
2022-01,HW,10
2022-01,freebsd,159
2022-01,NCSC.ch,30
2022-01,Bitdefender,104
2022-01,drupal,51
2022-01,Rockwell,9
2022-01,JFROG,51
2022-01,qnap,169
2022-01,Mautic,19
2022-01,Fidelis,13
2022-01,bosch,56
2022-01,DEVOLUTIONS,9
2022-01,M-Files Corporation,12
2022-01,Carrier,8
2022-01,Swift,8
2022-01,blackberry,44
2022-01,jci,43
2022-01,checkpoint,86
2022-01,zephyr,89
2022-01,eclipse,107
2022-01,BD,7
2022-01,php,44
2022-01,naver,17
2022-01,ShopBeat,6
2022-01,CERT-In,6
2022-01,Anolis,6
2022-01,Baxter,6
2022-01,NLOK,6
2022-01,LGE,6
2022-01,NEC,16
2022-01,OpenText,35
2022-01,kubernetes,69
2022-01,Silabs,5
2022-01,Pega,8
2022-01,Document Fdn.,22
2022-01,Dragos,4
2022-01,Okta,4
2022-01,ForgeRock,5
2022-01,HYPR,4
2022-01,NLnet Labs,9
2022-01,ARTICA,10
2022-01,Eaton,114
2022-01,ESET,13
2022-01,SN,4
2022-01,GovTech CSG,14
2022-01,OpenVPN,15
2022-01,yandex,32
2022-01,puppet,53
2022-01,Honeywell,3
