date,name,value
2021-01,NLnet Labs,5
2022-01,NLnet Labs,9
2023-01,NLnet Labs,13
2024-01,NLnet Labs,16
2025-01,NLnet Labs,17
2023-01,NX,1
2021-01,NetMotion,2
2021-01,Netskope,1
2022-01,Netskope,2
2023-01,Netskope,4
2024-01,Netskope,7
2023-01,Nokia,2
2025-01,Nokia,10
2021-01,None,1
2022-01,None,4
2023-01,None,5
2021-01,Nozomi,16
2022-01,Nozomi,19
2023-01,Nozomi,60
2024-01,Nozomi,148
2025-01,Nozomi,210
2023-01,ODA,2
2024-01,ODA,4
2024-01,OMRON,2
2025-01,OMRON,3
2022-01,ONEKEY,2
2023-01,ONEKEY,7
2024-01,ONEKEY,14
2025-01,ONEKEY,18
2020-01,OPPO,9
2021-01,OPPO,13
2023-01,OPPO,16
2024-01,OPPO,19
2025-01,OPPO,20
2020-01,OTRS,15
2021-01,OTRS,33
2022-01,OTRS,46
2023-01,OTRS,57
2024-01,OTRS,68
2025-01,OTRS,72
2023-01,OX,46
2024-01,OX,61
2025-01,OX,64
2021-01,Octopus,9
2022-01,Octopus,44
2023-01,Octopus,47
2024-01,Octopus,56
2025-01,Octopus,62
2022-01,Okta,4
2023-01,Okta,6
2024-01,Okta,12
2024-01,Omnissa,2
2025-01,Omnissa,4
2022-01,OpenBMC,2
2023-01,OpenCloudOS,1
2022-01,OpenHarmony,18
2023-01,OpenHarmony,44
2024-01,OpenHarmony,97
2025-01,OpenHarmony,150
2023-01,OpenNMS,14
2025-01,OpenNMS,16
2019-01,OpenText,1
2020-01,OpenText,9
2021-01,OpenText,30
2022-01,OpenText,35
2023-01,OpenText,70
2024-01,OpenText,131
2025-01,OpenText,138
2020-01,OpenVPN,6
2021-01,OpenVPN,11
2022-01,OpenVPN,15
2023-01,OpenVPN,21
2024-01,OpenVPN,31
2025-01,OpenVPN,34
2019-01,Opera,1
2020-01,Opera,4
2021-01,Opera,5
2023-01,PSF,3
2024-01,PSF,18
2025-01,PSF,26
2022-01,Palantir,13
2023-01,Palantir,37
2024-01,Palantir,40
2025-01,Palantir,41
2023-01,Panasonic Corporation,5
2023-01,Panasonic_Holdings_Corporation,5
2024-01,Panasonic_Holdings_Corporation,7
2025-01,Panasonic_Holdings_Corporation,8
2023-01,PandoraFMS,23
2024-01,PandoraFMS,32
2025-01,PandoraFMS,35
2023-01,PaperCut,1
2024-01,PaperCut,13
2021-01,Patchstack,81
2022-01,Patchstack,758
2023-01,Patchstack,3411
2024-01,Patchstack,7401
2025-01,Patchstack,11590
2023-01,Payara,1
2024-01,Payara,5
2025-01,Payara,6
2021-01,Pega,3
2022-01,Pega,8
2023-01,Pega,23
2024-01,Pega,29
2025-01,Pega,31
2024-01,Pentraze,11
2025-01,Pentraze,12
2021-01,Perforce,1
2023-01,Perforce,6
2024-01,Perforce,26
2025-01,Perforce,30
2025-01,Philips,3
2023-01,Phoenix,3
2024-01,Phoenix,8
2021-01,Ping Identity,10
2022-01,Ping Identity,24
2023-01,Ping Identity,34
2024-01,Ping Identity,42
2025-01,Ping Identity,45
2024-01,PlexTrac,8
2024-01,PostgreSQL,16
2025-01,PostgreSQL,23
2022-01,Profelis,2
2025-01,Profisee,1
2023-01,ProgressSoftware,24
2024-01,ProgressSoftware,125
2025-01,ProgressSoftware,133
2022-01,Proofpoint,3
2023-01,Proofpoint,17
2024-01,Proofpoint,20
2025-01,Proofpoint,21
2023-01,PureStorage,7
2024-01,PureStorage,13
2025-01,PureStorage,17
2023-01,Qualys,9
2024-01,RTI,10
2025-01,RTI,13
2021-01,Replicated,2
2024-01,Roche,1
2022-01,Rockwell,9
2023-01,Rockwell,51
2024-01,Rockwell,123
2025-01,Rockwell,149
2023-01,SEC-VLab,8
2024-01,SEC-VLab,42
2025-01,SEC-VLab,57
2023-01,SEL,40
2024-01,SEL,41
2025-01,SEL,60
2020-01,SICK AG,15
2021-01,SICK AG,25
2022-01,SICK AG,41
2023-01,SICK AG,78
2024-01,SICK AG,87
2025-01,SICK AG,135
2023-01,SK-CERT,1
2024-01,SK-CERT,2
2025-01,SK-CERT,3
2022-01,SN,4
2023-01,SN,8
2024-01,SN,14
2025-01,SN,16
2021-01,SNPS,10
2022-01,SNPS,24
2023-01,SNPS,41
2024-01,SNPS,46
2023-01,SRA,2
2023-01,STAR_Labs,30
2024-01,STAR_Labs,34
2020-01,SWI,41
2021-01,SWI,44
2022-01,SWI,46
2023-01,SWI,56
2022-01,SailPoint,2
2023-01,SailPoint,3
2024-01,SailPoint,10
2019-01,Salesforce,2
2020-01,Salesforce,5
2021-01,Salesforce,10
2022-01,Salesforce,12
2025-01,Salesforce,19
2021-01,Samsung Mobile,198
2022-01,Samsung Mobile,554
2023-01,Samsung Mobile,765
2023-01,SamsungMobile,27
2024-01,SamsungMobile,248
2025-01,SamsungMobile,376
2025-01,Saviynt,3
2025-01,Seagate,1
2020-01,Secomea,13
2021-01,Secomea,22
2022-01,Secomea,37
2023-01,Secomea,40
2024-01,Secomea,42
2022-01,Securifera,25
2022-01,ShopBeat,6
2022-01,Silabs,5
2023-01,Silabs,48
2024-01,Silabs,79
2025-01,Silabs,80
2020-01,Silver Peak,8
2021-01,Snow,4
2022-01,Snow,5
2023-01,Snow,9
2024-01,Snow,12
2023-01,SoftIron,3
2024-01,SoftIron,4
2021-01,SolarWinds,42
2022-01,SolarWinds,68
2023-01,SolarWinds,106
2024-01,SolarWinds,153
2025-01,SolarWinds,157
2024-01,Solidigm,9
2024-01,Sonatype,6
2025-01,Sonatype,10
2020-01,Sophos,1
2021-01,Sophos,25
2022-01,Sophos,43
2023-01,Sophos,45
2024-01,Sophos,50
2021-01,Splunk,5
2022-01,Splunk,31
2023-01,Splunk,69
2024-01,Splunk,108
2025-01,Splunk,110
2024-01,Supermicro,3
2022-01,Swift,8
2023-01,Swift,9
2025-01,Swift,10
2021-01,Synaptics,2
2023-01,Synaptics,5
2024-01,Synaptics,6
2024-01,TECNOMobile,9
2025-01,TECNOMobile,15
2021-01,THA-PSIRT,5
2022-01,THA-PSIRT,6
2023-01,THA-PSIRT,9
2024-01,THA-PSIRT,11
2022-01,TML,16
2023-01,TML,51
2024-01,TML,55
2025-01,TML,56
2025-01,TPLink,2
2025-01,TQtC,6
2021-01,TR-CERT,21
2022-01,TR-CERT,50
2023-01,TR-CERT,222
2024-01,TR-CERT,347
2025-01,TR-CERT,361
2022-01,TV,1
2023-01,TV,2
2024-01,TV,9
2025-01,TV,11
2024-01,TXOne,2
2018-01,Tcpdump,1
2020-01,Tcpdump,3
2021-01,Tcpdump,4
2023-01,Tcpdump,6
2024-01,Tcpdump,8
2023-01,Temporal,1
2024-01,Temporal,3
2025-01,Temporal,4
2020-01,Teradici,46
2021-01,Teradici,56
2021-01,TianoCore,7
2022-01,TianoCore,10
2023-01,TianoCore,19
2024-01,TianoCore,23
2025-01,TianoCore,24
2020-01,Tigera,1
2022-01,Tigera,2
2023-01,Tigera,3
2024-01,Tigera,4
2025-01,Toreon,3
2024-01,Toshiba,43
2022-01,Tribe29,11
2023-01,Tribe29,25
2022-01,Unisoc,311
2023-01,Unisoc,589
2024-01,Unisoc,606
2025-01,Unisoc,609
2020-01,VDOO,11
2023-01,VULSec,1
2024-01,VULSec,12
2025-01,VULSec,13
2017-01,Vaadin,1
2018-01,Vaadin,2
2019-01,Vaadin,4
2020-01,Vaadin,7
2021-01,Vaadin,21
2022-01,Vaadin,22
2023-01,Vaadin,24
2020-01,Vivo,7
2021-01,Vivo,12
2024-01,Vivo,17
2025-01,Vivo,18
2015-01,VulDB,128
2016-01,VulDB,164
2017-01,VulDB,335
2018-01,VulDB,395
2019-01,VulDB,431
2020-01,VulDB,504
2021-01,VulDB,595
2022-01,VulDB,1158
2023-01,VulDB,2673
2024-01,VulDB,5610
2025-01,VulDB,8605
2023-01,VulnCheck,10
2024-01,VulnCheck,52
2025-01,VulnCheck,164
2022-01,WDC PSIRT,35
2023-01,WDC PSIRT,43
2024-01,WDC PSIRT,47
2015-01,WPScan,5
2017-01,WPScan,6
2018-01,WPScan,8
2019-01,WPScan,9
2020-01,WPScan,17
2021-01,WPScan,1012
2022-01,WPScan,2196
2023-01,WPScan,3019
2024-01,WPScan,3989
2025-01,WPScan,4094
2023-01,WSO2,6
2024-01,WSO2,21
2025-01,WSO2,22
2024-01,WatchGuard,7
2025-01,WatchGuard,14
2025-01,WindRiver,1
2024-01,Wiz,1
2015-01,Wordfence,1
2016-01,Wordfence,5
2017-01,Wordfence,8
2018-01,Wordfence,9
2019-01,Wordfence,34
2020-01,Wordfence,117
2021-01,Wordfence,387
2022-01,Wordfence,608
2023-01,Wordfence,1512
2024-01,Wordfence,5674
2025-01,Wordfence,6543
2021-01,XEN,29
2022-01,XEN,88
2023-01,XEN,106
2024-01,XEN,114
2023-01,XI,17
2024-01,XI,37
2024-01,Xerox,15
2025-01,Xerox,16
2020-01,Xiaomi,36
2023-01,Xiaomi,46
2024-01,Xiaomi,56
2023-01,YokogawaGroup,1
2024-01,YokogawaGroup,5
2025-01,YokogawaGroup,6
2022-01,Yugabyte,1
2023-01,Yugabyte,8
2024-01,Yugabyte,13
2022-01,ZUSO ART,1
2023-01,ZUSO ART,8
2024-01,ZUSO ART,21
2025-01,ZUSO ART,30
2022-01,Zabbix,14
2023-01,Zabbix,32
2024-01,Zabbix,61
2024-01,Zohocorp,1
2025-01,Zohocorp,16
2021-01,Zoom,21
2022-01,Zoom,56
2023-01,Zoom,115
